,Night Thorn/Dried Flower Reset: 5 AM,,,,,,,,,,,,,
Add 3 Decorations to the Frosted Heights,Daily,Base Game,Dreamlight,☆,,100,,,,,,,,
Add 3 Decorations to the Forgotten Lands,Daily,Base Game,Dreamlight,☆,,100,,,,,,,,
Harvest Spring V-EGG-etable (3),Daily,Base Game,Dreamlight,☆,During Eggstravaganza,100,,,,,,,,
Pick Egg-cellent Fruit (3),Daily,Base Game,Dreamlight,☆,During Eggstravaganza,100,,,,,,,,
Pick Wild Spring Egg (3),Daily,Base Game,Dreamlight,☆,During Eggstravaganza,100,,,,,,,,
Cook with Eternity Isle Fishes,Food,Eternity Isle,Mist,☆☆☆☆☆,1,50,10,100,40,200,70,300,150,500
Cook with Eternity Isle Fruits,Food,Eternity Isle,Mist,☆☆☆☆☆,1,50,10,100,40,200,70,300,150,500
Cook with Eternity Isle Seafood,Food,Eternity Isle,Mist,☆☆☆☆☆,1,50,10,100,40,200,70,300,150,500
Cook with Eternity Isle Spices,Food,Eternity Isle,Mist,☆☆☆☆☆,1,50,10,100,40,200,70,300,150,500
Cook with Eternity Isle Vegetables,Food,Eternity Isle,Mist,☆☆☆☆☆,1,50,10,100,40,200,70,300,150,500
Catch Fish from Ancient's Landing,Food,Eternity Isle,Mist,☆☆☆☆☆,2,50,20,100,60,200,110,300,260,500
Catch Fish from the Glittering Dunes,Food,Eternity Isle,Mist,☆☆☆☆☆,2,50,20,100,60,200,110,300,260,500
Catch Fish from the Wild Tangle,Food,Eternity Isle,Mist,☆☆☆☆☆,2,50,20,100,60,200,110,300,260,500
Sell fish from Eternity Isle,Food,Eternity Isle,Mist,☆☆☆☆☆,4,50,45,100,150,200,270,300,600,500
Buy Seeds in Ancient's Landing,Food,Eternity Isle,Mist,☆☆☆☆☆,4,50,50,100,160,200,285,300,645,500
Buy Seeds in the Glittering Dunes,Food,Eternity Isle,Mist,☆☆☆☆☆,4,50,50,100,160,200,285,300,645,500
Buy Seeds in the Wild Tangle,Food,Eternity Isle,Mist,☆☆☆☆☆,4,50,50,100,160,200,285,300,645,500
Harvest Vegetables from Eternity Isle,Food,Eternity Isle,Mist,☆☆☆☆☆,25,50,400,100,"1,100",200,"2,000",300,"4,500",500
Plant Vegetables on Eternity Isle,Food,Eternity Isle,Mist,☆☆☆☆☆,25,50,350,100,"1,100",200,"2,000",300,"4,500",500
Sell Vegetables from Eternity Isle,Food,Eternity Isle,Mist,☆☆☆☆☆,10,50,120,100,380,200,670,300,"1,500",500
Feed Capybaras Thier Favorite Food,Foraging,Eternity Isle,Mist,☆☆☆,1,100,3,200,10,500,,,,
Feed Cobras Thier Favorite Food,Foraging,Eternity Isle,Mist,☆☆☆,1,100,3,200,10,500,,,,
Feed Monkeys Thier Favorite Food,Foraging,Eternity Isle,Mist,☆☆☆,1,100,3,200,10,500,,,,
Feed the Capybaras,Foraging,Eternity Isle,Mist,☆☆☆☆☆,1,50,7,100,25,200,40,300,90,500
Feed the Cobras,Foraging,Eternity Isle,Mist,☆☆☆☆☆,1,50,7,100,25,200,40,300,90,500
Feed the Monkeys,Foraging,Eternity Isle,Mist,☆☆☆☆☆,1,50,7,100,25,200,40,300,90,500
Harvest Agave,Foraging,Eternity Isle,Mist,☆☆☆☆☆,5,50,70,100,230,200,400,300,900,500
Harvest Almonds,Foraging,Eternity Isle,Mist,☆☆☆☆☆,5,50,70,100,230,200,400,300,900,500
Harvest Cumin,Foraging,Eternity Isle,Mist,☆☆☆☆☆,5,50,70,100,230,200,400,300,900,500
Harvest Dates,Foraging,Eternity Isle,Mist,☆☆☆☆☆,5,50,70,100,230,200,400,300,900,500
Harvest Dreamangoes,Foraging,Eternity Isle,Mist,☆☆☆☆☆,5,50,70,100,230,200,400,300,900,500
Harvest Majestea,Foraging,Eternity Isle,Mist,☆☆☆☆☆,5,50,70,100,230,200,400,300,900,500
Harvest Nestling Pears,Foraging,Eternity Isle,Mist,☆☆☆☆☆,5,50,70,100,230,200,400,300,900,500
Harvest Paprika,Foraging,Eternity Isle,Mist,☆☆☆☆☆,5,50,70,100,230,200,400,300,900,500
Harvest Strawberries,Foraging,Eternity Isle,Mist,☆☆☆☆☆,5,50,70,100,230,200,400,300,900,500
Havest Cactoberries,Foraging,Eternity Isle,Mist,☆☆☆☆☆,5,50,70,100,230,200,400,300,900,500
Remove Splinters of Fate,Foraging,Eternity Isle,Mist,☆☆☆☆☆,25,50,230,100,750,200,"1,300",300,"3,000",500
Sell Fruit from Eternity Isle,Foraging,Eternity Isle,Mist,☆☆☆☆☆,20,50,230,100,750,200,"1,300",300,"3,000",500
Befriend Companions from Eternity Isle,Friendship,Eternity Isle,Mist,☆☆☆,1,50,5,300,,500,,,,
Find Figurines,Friendship,Eternity Isle,Mist,☆☆☆,1,100,10,300,,,,,,
Hang Out with Friends from Eternity Isle,Friendship,Eternity Isle,Mist,☆☆☆☆,60,100,120,300,240,500,,,,
Play Scramblecoin,Friendship,Eternity Isle,Mist,☆☆☆☆☆,3,50,10,100,25,200,50,300,100,500
Reach Friendship Level  with 1 Eternity Isle Companion,Friendship,Eternity Isle,Mist,☆☆☆☆,LV 2,50,LV 3,100,LV 4,300,LV 5,500,,
Reach Friendship Level  with 10 Eternity Isle Companions,Friendship,Eternity Isle,Mist,☆☆☆☆,LV 2,50,LV 3,100,LV 4,300,LV 5,500,,
Reach Friendship Level with 5 Eternity Isle Companions,Friendship,Eternity Isle,Mist,☆☆☆☆,LV 2,50,LV 3,100,LV 4,300,LV 5,500,,
Win at Scramblecoin,Friendship,Eternity Isle,Mist,☆☆☆☆☆,2,50,5,100,15,200,30,300,75,500
Mine Alexandrite,Mining,Eternity Isle,Mist,☆☆☆☆☆,1,50,10,100,30,200,50,300,120,500
Mine Blue Zircon,Mining,Eternity Isle,Mist,☆☆☆☆☆,1,50,10,100,30,200,50,300,120,500
Mine Bumblestone,Mining,Eternity Isle,Mist,☆☆☆☆☆,1,50,10,100,30,200,50,300,120,500
Mine Evergems,Mining,Eternity Isle,Mist,☆☆☆☆☆,1,50,10,100,30,200,50,300,120,500
Mine Jade,Mining,Eternity Isle,Mist,☆☆☆☆☆,1,50,10,100,30,200,50,300,120,500
Mine Spinel,Mining,Eternity Isle,Mist,☆☆☆☆☆,1,50,10,100,30,200,50,300,120,500
Sell Gems from Eternity Isle,Mining,Eternity Isle,Mist,☆☆☆☆☆,4,50,45,100,150,200,270,300,600,500
Combine Resources into Auto-Cookers,Timebending,Eternity Isle,Mist,☆☆☆,1,100,3,300,5,500,,,,
Combine Resources into Gardeners,Timebending,Eternity Isle,Mist,☆☆☆,1,100,3,300,5,500,,,,
Combine Resources into Vacuums,Timebending,Eternity Isle,Mist,☆☆☆,1,100,3,300,5,500,,,,
Find Gifts with Your Hourglass,Timebending,Eternity Isle,Mist,☆☆☆☆☆,2,50,20,100,60,200,110,300,260,500
Find Glimmer with Your Hourglass,Timebending,Eternity Isle,Mist,☆☆☆☆☆,2,50,20,100,60,200,110,300,260,500
Find Parts with Your Hourglass,Timebending,Eternity Isle,Mist,☆☆☆☆☆,2,50,20,100,60,200,110,300,260,500
Fine Cores with Your Hourglass,Timebending,Eternity Isle,Mist,☆☆☆☆☆,2,50,20,100,60,200,110,300,260,500
Upgrade Hourglass,Timebending,Eternity Isle,Mist,☆☆☆,1,100,2,300,3,500,,,,
Change Outfit,Daily,Eternity Isle,Mist,☆,,,,,,,,,,
Take a picture,Daily,Eternity Isle,Mist,☆,,50,,,,,,,,
Add 3 Decorations to the Glittering Dunes,Daily,Eternity Isle,Mist,☆,,50,,,,,,,,
Add 3 Decorations to the Wild Tangle,Daily,Eternity Isle,Mist,☆,,100,,,,,,,,
Sell 2 Fish,Daily,Eternity Isle,Mist,☆,,100,,,,,,,,
Sell 2 Meals,Daily,Eternity Isle,Mist,☆,,100,,,,,,,,
Sell 3 Vegetables,Daily,Eternity Isle,Mist,☆,,100,,,,,,,,
Sell 5 Fruits,Daily,Eternity Isle,Mist,☆,,100,,,,,,,,
Harvest 3 Almonds,Daily,Eternity Isle,Mist,☆,,100,,,,,,,,
Harvest 3 Cactoberries,Daily,Eternity Isle,Mist,☆,,150,,,,,,,,
Harvest 3 Dates,Daily,Eternity Isle,Mist,☆,,150,,,,,,,,
Harvest 3 Dreamangoes,Daily,Eternity Isle,Mist,☆,,150,,,,,,,,
Harvest 3 Eternity Isle Spices,Daily,Eternity Isle,Mist,☆,,150,,,,,,,,
Harvest 3 Strawberries,Daily,Eternity Isle,Mist,☆,,150,,,,,,,,
Have a daily discussion,Daily,Eternity Isle,Mist,☆,,150,,,,,,,,
Plant 5 Vegetables,Daily,Eternity Isle,Mist,☆,,150,,,,,,,,
Plant 5 Vegetables on Eternity Isle,Daily,Eternity Isle,Mist,☆,,150,,,,,,,,
Remove 3 Splinters of Fate,Daily,Eternity Isle,Mist,☆,,150,,,,,,,,
Cook with Seafood,Daily,Eternity Isle,Mist,☆,,150,,,,,,,,
"Hang out with <<Gaston, EVE, Rapunzel>> for 5 minutes",Daily,Eternity Isle,Mist,☆,,200,,,,,,,,
Prepare 2 Meals,Daily,Eternity Isle,Mist,☆,,200,,,,,,,,
Prepare <<Meal Name>>,Daily,Eternity Isle,Mist,☆,,200,,,,,,,,
Bring 2 Gifts,Daily,Eternity Isle,Mist,☆,,200,,,,,,,,
Bring a Friend their favorite Gift,Daily,Eternity Isle,Mist,☆,,250,,,,,,,,
Catch 3 Fish,Daily,Eternity Isle,Mist,☆,,250,,,,,,,,
Catch 3 Fish in Ancient's Landing,Daily,Eternity Isle,Mist,☆,"Octopus, Sand Worm, Scorpion, Sea Snail does not count.",250,,,,,,,,
Catch 3 Seafood,Daily,Eternity Isle,Mist,☆,,250,,,,,,,,
Catch 3 Eternity Isle Seafood,Daily,Eternity Isle,Mist,☆,,250,,,,,,,,
Catch 3 Dunebopper,Daily,Eternity Isle,Mist,☆,,250,,,,,,,,
Catch 3 Piranha,Daily,Eternity Isle,Mist,☆,,350,,,,,,,,
Catch 3 Pirarucu,Daily,Eternity Isle,Mist,☆,,350,,,,,,,,
Catch 3 Sand Fish,Daily,Eternity Isle,Mist,☆,,350,,,,,,,,
Feed a Capybara,Daily,Eternity Isle,Mist,☆,,350,,,,,,,,
Feed a Cobra,Daily,Eternity Isle,Mist,☆,,250,,,,,,,,
Feed a Critter,Daily,Eternity Isle,Mist,☆,,250,,,,,,,,
Feed a Monkey,Daily,Eternity Isle,Mist,☆,,250,,,,,,,,
Gain 500 Star Coins,Daily,Eternity Isle,Mist,☆,,250,,,,,,,,
Harvest 5 Vegetables,Daily,Eternity Isle,Mist,☆,,250,,,,,,,,
Mine 4 Rock Spots,Daily,Eternity Isle,Mist,☆,,250,,,,,,,,
Mine 4 Rock Spots in Ancient's Landing,Daily,Eternity Isle,Mist,☆,,250,,,,,,,,
Mine 4 Rock Spots in the Glittering Dunes,Daily,Eternity Isle,Mist,☆,,250,,,,,,,,
Mine 4 Rock Spots in the Wild Tangle,Daily,Eternity Isle,Mist,☆,,250,,,,,,,,
Serve a Meal in the Restaurant,Daily,Eternity Isle,Mist,☆,,250,,,,,,,,
Prepare a 1-Star Meal or Better,Daily,Eternity Isle,Mist,☆,,250,,,,,,,,
Prepare a 2-Star Meal or Better,Daily,Eternity Isle,Mist,☆,,100,,,,,,,,
Prepare a 3-Star Meal or Better,Daily,Eternity Isle,Mist,☆,,150,,,,,,,,
Prepare a 4-Star Meal or Better,Daily,Eternity Isle,Mist,☆,,200,,,,,,,,
Prepare a 5-Star Meal,Daily,Eternity Isle,Mist,☆,,250,,,,,,,,
Find 3 Timebending Parts,Daily,Eternity Isle,Mist,☆,,300,,,,,,,,
Find 1 Timebending Cores,Daily,Eternity Isle,Mist,☆,,300,,,,,,,,
Find 1 Timebending Gifts,Daily,Eternity Isle,Mist,☆,,500,,,,,,,,
Win at Scramblecoin against <<Character>>,Daily,Eternity Isle,Mist,☆,,500,,,,,,,,
Win at Scramblecoin 1 times,Daily,Eternity Isle,Mist,☆,,500,,,,,,,,
Cook with Storybook Vale Fish,Food,Storybook Vale,Storybook Magic,☆☆☆☆☆,1,50,10,100,40,150,70,200,150,250
Cook with Storybook Vale Fruit,Food,Storybook Vale,Storybook Magic,☆☆☆☆☆,1,50,10,100,40,150,70,200,150,250
Cook with Storybook Vale Seafood,Food,Storybook Vale,Storybook Magic,☆☆☆☆☆,1,50,10,100,40,150,70,200,150,250
Cook with Storybook Vale Spices,Food,Storybook Vale,Storybook Magic,☆☆☆☆☆,1,50,10,100,40,150,70,200,150,250
Cook with Storybook Vale Vegetables,Food,Storybook Vale,Storybook Magic,☆☆☆☆☆,1,50,10,100,40,150,70,200,150,250
Catch Fish from Everafter,Food,Storybook Vale,Storybook Magic,☆☆☆☆☆,2,50,20,100,60,150,110,200,150,250
Catch Fish from Mythopia,Food,Storybook Vale,Storybook Magic,☆☆☆☆☆,2,50,20,100,60,150,110,200,150,250
Catch Fish from the Bind,Food,Storybook Vale,Storybook Magic,☆☆☆☆☆,2,50,20,100,60,150,110,200,150,250
Sell Fish from the Storybook Vale,Food,Storybook Vale,Storybook Magic,☆☆☆☆☆,4,50,45,100,150,150,270,200,600,250
Buy Seeds in the Bind,Food,Storybook Vale,Storybook Magic,☆☆☆☆☆,4,50,50,100,160,150,285,200,645,250
Buy Seeds in the Everafter,Food,Storybook Vale,Storybook Magic,☆☆☆☆☆,4,50,50,100,160,150,285,200,645,250
Buy Seeds in the Mythopia,Food,Storybook Vale,Storybook Magic,☆☆☆☆☆,4,50,50,100,160,150,285,200,645,250
Harvest Vegetables from Storybook Vale,Food,Storybook Vale,Storybook Magic,☆☆☆☆☆,25,50,400,100,"1,100",150,"2,000",200,"4,500",250
Plant Vegetables from the Storybook Vale,Food,Storybook Vale,Storybook Magic,☆☆☆☆☆,25,50,350,100,"1,100",150,"2,000",200,"4,500",250
Sell Vegetables from the Storybook Vale,Food,Storybook Vale,Storybook Magic,☆☆☆☆☆,10,50,120,100,380,150,670,200,"1,500",250
Feed the Baby Dragon,Foraging,Storybook Vale,Storybook Magic,☆☆☆☆☆,1,50,7,100,25,150,40,200,90,250
Feed the Baby Dragons Their Favorite Food,Foraging,Storybook Vale,Storybook Magic,☆☆☆,1,50,3,100,10,150,,,,
Feed the Baby Pegasus,Foraging,Storybook Vale,Storybook Magic,☆☆☆☆☆,1,50,7,100,25,150,40,200,90,250
Feed the Baby Pegasus Their Favorite Food,Foraging,Storybook Vale,Storybook Magic,☆☆☆,1,50,3,100,10,150,,,,
Feed the Owls,Foraging,Storybook Vale,Storybook Magic,☆☆☆☆☆,1,50,7,100,25,150,40,200,90,250
Feed the Owls Their Favorite Food,Foraging,Storybook Vale,Storybook Magic,☆☆☆,1,50,3,100,10,150,,,,
Harvest Brussel Sprouts,Foraging,Storybook Vale,Storybook Magic,☆☆☆☆☆,5,50,70,100,230,150,400,200,900,250
Harvest Cape Gooseberries,Foraging,Storybook Vale,Storybook Magic,☆☆☆☆☆,5,50,70,100,230,150,400,200,900,250
Harvest Lightning SPice,Foraging,Storybook Vale,Storybook Magic,☆☆☆☆☆,5,50,70,100,230,150,400,200,900,250
Harvest Nutmeg,Foraging,Storybook Vale,Storybook Magic,☆☆☆☆☆,5,50,70,100,230,150,400,200,900,250
Harvest Olives,Foraging,Storybook Vale,Storybook Magic,☆☆☆☆☆,5,50,70,100,230,150,400,200,900,250
Harvest Persimmons,Foraging,Storybook Vale,Storybook Magic,☆☆☆☆☆,5,50,70,100,230,150,400,200,900,250
Harvest Porcini Mushrooms,Foraging,Storybook Vale,Storybook Magic,☆☆☆☆☆,5,50,70,100,230,150,400,200,900,250
Harvest Sour Berries,Foraging,Storybook Vale,Storybook Magic,☆☆☆☆☆,5,50,70,100,230,150,400,200,900,250
Harvest Spiral Strawberries,Foraging,Storybook Vale,Storybook Magic,☆☆☆☆☆,5,50,70,100,230,150,400,200,900,250
Harvest Trumpet Snails,Foraging,Storybook Vale,Storybook Magic,☆☆☆☆☆,5,50,70,100,230,150,400,200,900,250
Harvest Vanilla,Foraging,Storybook Vale,Storybook Magic,☆☆☆☆☆,5,50,70,100,230,150,400,200,900,250
Remove Inkies,Foraging,Storybook Vale,Storybook Magic,☆☆☆☆☆,20,50,230,100,750,150,"1,300",200,"3,000",250
Sell Fruits from the Storybook Vale,Foraging,Storybook Vale,Storybook Magic,☆☆☆☆☆,20,50,230,100,750,150,"1,300",200,"3,000",250
Befriend Companions from Storybook Vale,Friendship,Storybook Vale,Storybook Magic,☆☆☆,1,150,4,300,,500,,,,
Hang Out with Friends from Storybook Vale,Friendship,Storybook Vale,Storybook Magic,☆☆☆,60 Min,50,120 Min,100,240 Min,150,,,,
Reach Friendship Level  with 1 Storybook Vale Companion,Friendship,Storybook Vale,Storybook Magic,☆☆☆☆,LV 2,50,LV 3,100,LV 4,300,LV 5,500,,
Reach Friendship Level  with 10 Storybook Vale Companions,Friendship,Storybook Vale,Storybook Magic,☆☆☆☆,LV 2,50,LV 3,100,LV 4,300,LV 5,500,,
Reach Friendship Level  with 5 Storybook Vale Companions,Friendship,Storybook Vale,Storybook Magic,☆☆☆☆,LV 2,50,LV 3,100,LV 4,300,LV 5,500,,
Mine Magma,Mining,Storybook Vale,Storybook Magic,☆☆☆☆☆,1,50,10,100,30,150,50,200,120,250
Mine Marble,Mining,Storybook Vale,Storybook Magic,☆☆☆☆☆,1,50,10,100,30,150,50,200,120,250
Mine Opal,Mining,Storybook Vale,Storybook Magic,☆☆☆☆☆,1,50,10,100,30,150,50,200,120,250
Mine Petrified Wood,Mining,Storybook Vale,Storybook Magic,☆☆☆☆☆,1,50,10,100,30,150,50,200,120,250
Mine Pure Ice,Mining,Storybook Vale,Storybook Magic,☆☆☆☆☆,1,50,10,100,30,150,50,200,120,250
Mine Star Sapphire,Mining,Storybook Vale,Storybook Magic,☆☆☆☆☆,1,50,10,100,30,150,50,200,120,250
Sell Gems from the Storybook Vale,Mining,Storybook Vale,Storybook Magic,☆☆☆☆☆,4,50,45,100,150,150,270,200,600,250
Catch Bird Snippets,Snippet Catching,Storybook Vale,Storybook Magic,☆☆☆☆☆,1,50,10,100,30,150,60,200,120,250
Catch Demon Snippets,Snippet Catching,Storybook Vale,Storybook Magic,☆☆☆☆☆,1,50,10,100,30,150,60,200,120,250
Catch Frog Snippets,Snippet Catching,Storybook Vale,Storybook Magic,☆☆☆☆☆,1,50,10,100,30,150,60,200,120,250
Catch Snippets,Snippet Catching,Storybook Vale,Storybook Magic,☆☆☆☆☆,1,50,50,100,100,150,200,200,500,250
Craft Lure Traps,Snippet Catching,Storybook Vale,Storybook Magic,☆☆☆,1,50,3,100,5,150,,,,
Craft Slow Traps,Snippet Catching,Storybook Vale,Storybook Magic,☆☆☆,1,50,3,100,5,150,,,,
Craft Snippet Repellent,Snippet Catching,Storybook Vale,Storybook Magic,☆☆☆,1,50,3,100,5,150,,,,
Reorder Stories,Village,Storybook Vale,Storybook Magic,☆☆☆☆☆,1,50,10,100,30,150,50,200,120,250
Change Outfit,Daily,Storybook Vale,Storybook Magic,☆,,50,,,,,,,,
Take a picture,Daily,Storybook Vale,Storybook Magic,☆,,50,,,,,,,,
Plant 5 Vegetables in the Storybook Vale,Daily,Storybook Vale,Storybook Magic,☆,,50,,,,,,,,
Harvest 3 Fruit,Daily,Storybook Vale,Storybook Magic,☆,,50,,,,,,,,
Prepare a 1-Star Meal or Better,Daily,Storybook Vale,Storybook Magic,☆,,50,,,,,,,,
Plant 5 Vegetables,Daily,Storybook Vale,Storybook Magic,☆,,100,,,,,,,,
Sell 5 Vegetables,Daily,Storybook Vale,Storybook Magic,☆,,100,,,,,,,,
Sell 5 Fruits,Daily,Storybook Vale,Storybook Magic,☆,,100,,,,,,,,
Sell 1 Minerals,Daily,Storybook Vale,Storybook Magic,☆,,100,,,,,,,,
Sell 2 Fish,Daily,Storybook Vale,Storybook Magic,☆,,100,,,,,,,,
Sell 2 Fish,Daily,Storybook Vale,Storybook Magic,☆,,100,,,,,,,,
Sell 2 Meals,Daily,Storybook Vale,Storybook Magic,☆,,100,,,,,,,,
Prepare a 2-Star Meal or Better,Daily,Storybook Vale,Storybook Magic,☆,,100,,,,,,,,
Remove 3 Inkies,Daily,Storybook Vale,Storybook Magic,☆,,100,,,,,,,,
Add 3 Decorations to The Bind,Daily,Storybook Vale,Storybook Magic,☆,,100,,,,,,,,
Add 3 Decorations to Mythopia,Daily,Storybook Vale,Storybook Magic,☆,,100,,,,,,,,
Add 3 Decorations to Everafter,Daily,Storybook Vale,Storybook Magic,☆,,100,,,,,,,,
Cook with Seafood,Daily,Storybook Vale,Storybook Magic,☆,,100,,,,,,,,
Harvest 3 Spices,Daily,Storybook Vale,Storybook Magic,☆,,100,,,,,,,,
Harvest 3 Olives,Daily,Storybook Vale,Storybook Magic,☆,,100,,,,,,,,
Harvest Nutmeg 3 times,Daily,Storybook Vale,Storybook Magic,☆,,100,,,,,,,,
Harvest 3 Brussels Sprouts,Daily,Storybook Vale,Storybook Magic,☆,,100,,,,,,,,
Harvest 3 Spiral Strawberries,Daily,Storybook Vale,Storybook Magic,☆,,100,,,,,,,,
Have a daily discussion,Daily,Storybook Vale,Storybook Magic,☆,,100,,,,,,,,
Gain 500 Star Coins,Daily,Storybook Vale,Storybook Magic,☆,,100,,,,,,,,
Catch 1 Sorcerer Hat Hermit Crab,Daily,Storybook Vale,Storybook Magic,☆,,100,,,,,,,,
Catch 1 Sea Wolf,Daily,Storybook Vale,Storybook Magic,☆,,100,,,,,,,,
Catch 1 Cod,Daily,Storybook Vale,Storybook Magic,☆,,100,,,,,,,,
Catch 1 Squid,Daily,Storybook Vale,Storybook Magic,☆,,100,,,,,,,,
Catch 1 Tuna,Daily,Storybook Vale,Storybook Magic,☆,,100,,,,,,,,
Catch 1 Stygian Mudskipper,Daily,Storybook Vale,Storybook Magic,☆,,100,,,,,,,,
Catch 1 Rainbow Trout,Daily,Storybook Vale,Storybook Magic,☆,,100,,,,,,,,
Catch 1 Hippocampus,Daily,Storybook Vale,Storybook Magic,☆,,100,,,,,,,,
Prepare a 3-Star Meal or Better,Daily,Storybook Vale,Storybook Magic,☆,,150,,,,,,,,
Harvest 5 Vegetables,Daily,Storybook Vale,Storybook Magic,☆,,150,,,,,,,,
Harvest 5 Vegetables from the Storybook Vale,Daily,Storybook Vale,Storybook Magic,☆,,150,,,,,,,,
Catch 3 Fish,Daily,Storybook Vale,Storybook Magic,☆,,150,,,,,,,,
Catch 3 Fish in the Bind,Daily,Storybook Vale,Storybook Magic,☆,,150,,,,,,,,
Catch 3 Fish in Mythopia,Daily,Storybook Vale,Storybook Magic,☆,,150,,,,,,,,
Catch 3 Fish in Everafter,Daily,Storybook Vale,Storybook Magic,☆,,150,,,,,,,,
Catch 3 Seafood,Daily,Storybook Vale,Storybook Magic,☆,,150,,,,,,,,
Mine 4 Rock Spots in the Bind,Daily,Storybook Vale,Storybook Magic,☆,,150,,,,,,,,
Mine 4 Rock Spots in Mythopia,Daily,Storybook Vale,Storybook Magic,☆,,150,,,,,,,,
Mine 4 Rock Spots in Everafter,Daily,Storybook Vale,Storybook Magic,☆,,150,,,,,,,,
Mine 4 Rock Spots,Daily,Storybook Vale,Storybook Magic,☆,,150,,,,,,,,
Mine 1 Star Sapphire,Daily,Storybook Vale,Storybook Magic,☆,,150,,,,,,,,
Mine 1 Magma,Daily,Storybook Vale,Storybook Magic,☆,,150,,,,,,,,
Mine 1 Opal,Daily,Storybook Vale,Storybook Magic,☆,,150,,,,,,,,
Mine 1 Topaz,Daily,Storybook Vale,Storybook Magic,☆,,150,,,,,,,,
Mine 1 Ruby,Daily,Storybook Vale,Storybook Magic,☆,,150,,,,,,,,
Mine 2 Minerals,Daily,Storybook Vale,Storybook Magic,☆,,150,,,,,,,,
Bring 2 Gifts,Daily,Storybook Vale,Storybook Magic,☆,,150,,,,,,,,
"Hang out with <<Merida, Flynn, Hades>> for 5 minutes",Daily,Storybook Vale,Storybook Magic,☆,,150,,,,,,,,
Prepare a 4-Star Meal or Better,Daily,Storybook Vale,Storybook Magic,☆,,200,,,,,,,,
Feed a Critter,Daily,Storybook Vale,Storybook Magic,☆,,200,,,,,,,,
Feed an Owl,Daily,Storybook Vale,Storybook Magic,☆,,200,,,,,,,,
Feed a Baby Dragon,Daily,Storybook Vale,Storybook Magic,☆,,200,,,,,,,,
Feed a Baby Pegasus,Daily,Storybook Vale,Storybook Magic,☆,,200,,,,,,,,
Catch Bird Snippets (3),Daily,Storybook Vale,Storybook Magic,☆,,200,,,,,,,,
Catch Demon Snippets (3),Daily,Storybook Vale,Storybook Magic,☆,,200,,,,,,,,
Catch Frog Snippets (3),Daily,Storybook Vale,Storybook Magic,☆,,200,,,,,,,,
Catch Any Snippets (4),Daily,Storybook Vale,Storybook Magic,☆,,200,,,,,,,,
Prepare a Meal: <<Meal Name>>,Daily,Storybook Vale,Storybook Magic,☆,,200,,,,,,,,
Reorder a Story,Daily,Storybook Vale,Storybook Magic,☆,,200,,,,,,,,
Prepare a 5-Star Meal,Daily,Storybook Vale,Storybook Magic,☆,,250,,,,,,,,
Serve a Meal in the Restaurant,Daily,Storybook Vale,Storybook Magic,☆,,250,,,,,,,,
Bring a Friend their favorite Gift,Daily,Storybook Vale,Storybook Magic,☆,,250,,,,,,,,
Catch Fish from the Wising Alps,Fishing,Wishblossom Mountains,Dreamlight,☆☆☆☆☆,2,50,20,100,,,,,,
Catch Fish from Glamour Gulch,Fishing,Wishblossom Mountains,Dreamlight,☆☆☆☆☆,2,50,20,100,,,,,,
Catch Fish from Pixie Acres,Fishing,Wishblossom Mountains,Dreamlight,☆☆☆☆☆,2,50,20,100,,,,,,
Cook with Wishblossom Ranch Fish,Food,Wishblossom Mountains,Dreamlight,☆☆☆☆☆,1,50,,,,,,,,
Cook with Wishblossom Ranch Seafood,Food,Wishblossom Mountains,Dreamlight,☆☆☆☆☆,1,50,,,,,,,,
Cook with Wishblossom Ranch Fruit,Food,Wishblossom Mountains,Dreamlight,☆☆☆☆☆,1,50,,,,,,,,
Cook with Wishblossom Ranch Vegetables,Food,Wishblossom Mountains,Dreamlight,☆☆☆☆☆,1,50,10,100,,,,,,
Feed the Geese,Foraging,Wishblossom Mountains,Dreamlight,☆☆☆☆☆,1,50,7,100,25,200,40,300,90,500
Feed the Skunks,Foraging,Wishblossom Mountains,Dreamlight,☆☆☆☆☆,1,50,7,100,25,200,40,300,90,500
Feed the Sweet Bees,Foraging,Wishblossom Mountains,Dreamlight,☆☆☆☆☆,1,50,7,100,25,200,40,300,90,500
Feed the Skunks their favorite food,Foraging,Wishblossom Mountains,Dreamlight,☆☆☆☆☆,1,50,7,100,,,,,,
Feed the Geese their favorite food,Foraging,Wishblossom Mountains,Dreamlight,☆☆☆☆☆,1,50,7,100,,,,,,
Feed the Sweet Bees their favorite food,Foraging,Wishblossom Mountains,Dreamlight,☆☆☆☆☆,1,50,7,100,,,,,,
Befriend Companions from the Wishblossom Mountains,Friendship,Wishblossom Mountains,Dreamlight,☆☆☆,1,150,4,300,,500,,,,
Reach Friendship Level with 1 Wishblossom Mountains Companion,Friendship,Wishblossom Mountains,Dreamlight,☆☆☆☆,LV 2,50,LV 3,100,LV 4,300,LV 5,500,,
Reach Friendship Level with 5 Wishblossom Mountains Companion,Friendship,Wishblossom Mountains,Dreamlight,☆☆☆☆,LV 2,50,LV 3,100,LV 4,300,LV 5,500,,
Reach Friendship Level with 10 Wishblossom Mountains Companion,Friendship,Wishblossom Mountains,Dreamlight,☆☆☆☆,LV 2,50,LV 3,100,LV 4,300,LV 5,500,,
Hangout with friends from the Wishblossom Mountain,Friendship,Wishblossom Mountains,Dreamlight,☆☆☆,60 Min,50,120 Min,100,240 Min,150,,,,
